client_id,name,email,order_no,time,exchange,side,symbol,qty,price
CL0001,Ishaan Singh,CL0001@example.com,1548434750,10:25:57,NSE,B,HDFCBANK,430,949.97
CL0001,Ishaan Singh,CL0001@example.com,1360356828,11:33:32,BSE,S,SBIN,83,1426.65
CL0001,Ishaan Singh,CL0001@example.com,1587741275,13:41:02,BSE,S,BHARTIARTL,483,2914.68
CL0001,Ishaan Singh,CL0001@example.com,1250939629,13:54:07,NSE,S,TATAMOTORS,388,1095.35
CL0001,Ishaan Singh,CL0001@example.com,1712849536,13:54:12,BSE,S,ICICIBANK,393,3759.23
CL0001,Ishaan Singh,CL0001@example.com,1344223072,09:18:21,NSE,S,SBIN,179,753.55
CL0001,Ishaan Singh,CL0001@example.com,1230233015,10:56:08,NSE,S,ITC,488,1869.49
CL0002,Aarav Khan,CL0002@example.com,1311501784,12:26:39,BSE,S,BHARTIARTL,147,2857.04
CL0002,Aarav Khan,CL0002@example.com,1435627546,14:58:22,NSE,S,WIPRO,464,2163.43
CL0002,Aarav Khan,CL0002@example.com,1988067856,09:18:24,NSE,S,ICICIBANK,319,2165.19
CL0002,Aarav Khan,CL0002@example.com,1790451080,10:08:31,BSE,S,BHARTIARTL,179,1368.88
CL0002,Aarav Khan,CL0002@example.com,1337152361,11:33:02,NSE,B,HDFCBANK,52,350.57
CL0003,Ananya Khan,CL0003@example.com,1234208529,11:41:34,BSE,S,INFY,224,703.38
CL0003,Ananya Khan,CL0003@example.com,1667623155,10:23:11,NSE,B,HDFCBANK,263,537.42
CL0003,Ananya Khan,CL0003@example.com,1110451176,12:07:31,NSE,B,TATAMOTORS,24,342.47
CL0004,Diya Reddy,CL0004@example.com,1291290416,12:49:19,BSE,B,HDFCBANK,414,3379.68
CL0004,Diya Reddy,CL0004@example.com,1902156090,12:28:36,BSE,S,HDFCBANK,147,2399.22
CL0004,Diya Reddy,CL0004@example.com,1378685069,12:26:20,BSE,B,RELIANCE,133,1242.81
CL0004,Diya Reddy,CL0004@example.com,1745099301,11:21:23,NSE,B,ITC,339,3768.96
CL0004,Diya Reddy,CL0004@example.com,1307662680,10:30:37,BSE,S,TCS,102,722.95
CL0005,Rohan Sharma,CL0005@example.com,1694892687,13:42:58,BSE,S,ICICIBANK,198,252.39
CL0005,Rohan Sharma,CL0005@example.com,1965428673,09:42:56,BSE,B,WIPRO,244,332.68
CL0005,Rohan Sharma,CL0005@example.com,1301307945,10:14:37,BSE,S,ICICIBANK,334,2724.89
CL0005,Rohan Sharma,CL0005@example.com,1242974411,11:30:38,NSE,S,HDFCBANK,306,1509.67
CL0005,Rohan Sharma,CL0005@example.com,1855677692,10:42:45,NSE,B,WIPRO,347,3336.17
CL0006,Ananya Das,CL0006@example.com,1597680340,12:40:36,BSE,S,WIPRO,478,2987.13
CL0006,Ananya Das,CL0006@example.com,1713032446,10:02:49,NSE,B,TCS,460,334.34
CL0006,Ananya Das,CL0006@example.com,1690344897,11:31:22,NSE,B,INFY,18,480.18
CL0006,Ananya Das,CL0006@example.com,1986381110,13:04:00,BSE,S,TATAMOTORS,474,3884.23
